Taxable status,State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Tax on taxable income
no.","Tax on taxable income
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Total Medicare levy liability
no.","Total Medicare levy liability
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Tax withheld from salary or wages
no.","Tax withheld from salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$"
Taxable,NSW,2762,"5,235","5,235","384,204,822","5,235","84,512,847","4,883","7,295,016",157,"182,474","4,884","7,477,490","5,235","90,566,094",313,"1,283,966","4,954","367,463,105","4,932","94,124,403","1,230","5,454,501",88,"908,111",113,"1,116,661",134,"534,908",53,"365,927",15,"160,282",17,"682,023","2,759","3,232,841",127,"56,194",677,"1,989,597",673,"794,647","5,235","398,582,347"
Taxable,NSW,2763,"15,015","15,015","1,046,035,378","15,013","223,423,578","14,043","19,909,635",376,"462,973","14,044","20,371,632","15,015","239,280,155",887,"3,562,225","14,228","1,002,588,105","14,168","251,755,640","3,452","12,591,937",242,"3,723,990",306,"3,275,992",445,"2,052,835",161,"1,534,566",84,"1,108,666",69,"2,073,119","7,938","5,251,689",584,"335,687","2,488","4,674,958","2,481","1,920,429","15,015","1,085,674,367"
Taxable,NSW,2765,"9,805","9,805","746,618,632","9,803","172,389,065","9,258","14,342,468",298,"353,879","9,259","14,695,818","9,805","183,712,743",555,"2,408,407","8,790","611,721,496","8,705","153,325,716","2,316","11,031,322",105,"1,488,220",186,"1,696,429",274,"1,360,708",119,"1,232,448",48,"1,023,595",36,"1,156,932","5,468","13,730,303",457,"1,228,496","1,814","23,532,337","1,810","9,366,462","9,805","777,252,499"
Taxable,NSW,2766,"7,209","7,209","454,133,835","7,209","90,635,262","6,593","8,379,454",182,"213,673","6,593","8,593,128","7,209","96,974,788",405,"1,552,217","6,847","436,332,239","6,833","103,852,279","1,925","4,831,599",101,"1,296,217",158,"1,283,099",283,"1,356,639",104,"1,026,170",47,"513,227",27,"718,581","3,329","1,853,533",186,"66,926",823,"3,376,767",821,"1,354,580","7,209","472,636,194"
Taxable,NSW,2767,"10,684","10,684","677,509,871","10,684","135,600,430","9,699","12,604,908",287,"330,837","9,699","12,935,746","10,684","145,436,762",655,"2,652,734","10,173","659,193,925","10,131","158,888,927","2,691","7,534,112",174,"2,373,260",249,"1,818,246",477,"2,462,583",149,"1,326,974",50,"663,483",30,"945,988","5,154","3,181,857",331,"143,694","1,478","3,226,347","1,475","1,335,327","10,684","705,127,391"
Taxable,NSW,2768,"12,992","12,992","1,010,730,895","12,991","232,716,619","12,210","19,380,705",352,"421,692","12,216","19,801,304","12,992","248,220,762",896,"3,993,301","12,144","951,811,319","12,060","253,172,073","2,926","16,661,059",188,"3,519,574",305,"4,567,820",289,"1,354,855",122,"998,089",67,"967,317",57,"1,723,443","7,006","5,007,089",621,"270,232","2,638","9,391,996","2,629","3,763,827","12,992","1,050,163,767"
Taxable,NSW,2769,"6,377","6,377","534,426,956","6,377","127,695,792","6,048","10,288,954",243,"276,783","6,048","10,565,737","6,377","136,622,778",358,"1,588,792","5,974","509,024,874","5,942","139,550,368","1,369","9,093,088",98,"1,508,272",130,"1,806,613",113,"467,083",46,"333,890",14,"218,280",17,"599,155","3,315","2,402,120",253,"85,191","1,049","3,110,393","1,046","1,269,073","6,377","556,077,272"
Taxable,NSW,2770,"21,587","21,587","1,245,660,001","21,584","231,624,701","19,420","22,744,871",460,"549,189","19,420","23,294,060","21,587","247,501,116",893,"3,485,855","20,627","1,202,582,129","20,549","274,095,678","5,671","13,305,513",298,"3,427,741",507,"3,064,666","1,796","9,241,695",563,"5,841,571",93,"1,175,616",68,"1,839,733","8,396","3,535,155",380,"116,931","1,742","3,719,654","1,737","1,530,722","21,587","1,299,962,923"
Taxable,NSW,2773,"2,939","2,939","272,032,390","2,937","69,696,314","2,809","5,264,352",83,"127,450","2,809","5,391,802","2,939","73,439,028",185,"826,199","2,596","218,855,391","2,574","61,813,894",612,"3,190,318",60,"1,707,979",74,"2,091,169",77,"288,326",43,"402,122",41,"1,135,917",53,"2,185,372","1,803","2,601,959",293,"147,614",944,"8,627,601",942,"3,532,598","2,939","283,444,665"
Taxable,NSW,2774,"6,135","6,135","485,506,884","6,135","113,503,625","5,811","9,335,012",204,"244,865","5,812","9,579,861","6,135","120,211,834",442,"1,787,465","5,649","428,236,965","5,613","114,563,584","1,401","4,864,792",115,"2,932,871",126,"2,046,123",190,"801,458",115,"974,891",67,"1,767,545",108,"4,056,728","3,546","3,137,171",444,"293,055","1,489","9,431,222","1,488","3,811,352","6,135","504,613,926"
Taxable,NSW,2775,667,667,"47,254,800",667,"10,663,080",618,"886,832",21,"26,376",618,"912,705",667,"11,140,337",16,"53,276",557,"35,603,138",552,"8,758,022",142,"546,352",16,"86,200",15,"179,057",26,"117,969",14,"132,796",9,"206,738",7,"206,927",338,"407,387",33,"37,748",136,"2,642,616",136,"1,089,530",667,"49,318,326"
Taxable,NSW,2776,"1,977","1,977","149,261,491","1,977","33,861,496","1,882","2,874,028",63,"76,541","1,883","2,950,527","1,977","35,726,854",141,"544,780","1,795","130,630,733","1,782","34,245,499",424,"1,302,544",40,"848,158",41,"1,395,726",62,"325,044",41,"358,417",22,"780,151",36,"1,536,491","1,111","1,051,552",125,"60,989",431,"2,420,745",430,"973,489","1,977","155,384,920"
Taxable,NSW,2777,"8,274","8,274","625,216,765","8,270","141,420,374","7,830","11,964,481",274,"330,350","7,833","12,294,526","8,274","149,524,944",502,"2,031,709","7,472","543,730,976","7,426","142,348,064","1,893","6,508,895",147,"3,979,806",161,"3,184,871",235,"984,625",189,"1,729,530",103,"2,893,634",166,"5,832,403","4,894","4,554,080",571,"221,858","1,942","12,569,792","1,937","5,109,240","8,274","650,152,899"
Taxable,NSW,2778,"1,153","1,153","84,837,891","1,153","18,902,914","1,090","1,630,719",32,"46,676","1,090","1,677,395","1,153","19,915,737",69,"304,547","1,035","72,701,077","1,029","18,874,282",270,"1,088,323",24,"876,501",21,"511,073",37,"172,998",23,"212,634",11,"242,894",17,"720,756",649,"632,834",87,"75,891",240,"1,771,610",240,"727,380","1,153","88,253,776"
Taxable,NSW,2779,"2,175","2,175","149,267,846","2,175","31,663,031","2,039","2,845,188",62,"74,923","2,039","2,920,111","2,175","33,506,715",134,"481,982","2,005","134,537,809","1,995","33,718,304",554,"1,552,816",39,"694,650",48,"552,777",101,"390,645",53,"474,863",27,"405,837",35,"1,272,166","1,241","859,145",107,"18,734",392,"1,339,244",389,"546,920","2,175","154,811,287"
Taxable,NSW,2780,"5,385","5,385","363,084,555","5,384","78,339,124","4,868","6,715,131",186,"234,048","4,868","6,949,179","5,385","82,193,412",296,"1,196,708","4,478","272,535,982","4,420","67,199,771","1,270","4,044,592",83,"1,391,109",84,"1,768,669",358,"1,731,903",186,"1,988,632",75,"1,178,209",98,"3,679,918","3,132","4,615,326",377,"427,215","1,063","13,385,258","1,055","5,518,629","5,385","377,392,680"
Taxable,NSW,2782,"2,480","2,480","189,961,811","2,478","44,102,395","2,326","3,623,558",84,"103,943","2,327","3,727,429","2,480","46,359,648",131,"543,335","2,040","141,669,867","2,011","37,057,336",579,"1,957,662",38,"646,700",33,"488,211",90,"442,383",66,"669,919",44,"737,854",48,"1,856,790","1,462","2,846,541",216,"176,223",646,"7,692,593",645,"3,188,470","2,480","198,159,568"
Taxable,NSW,2783,"1,214","1,214","80,052,624","1,213","16,639,569","1,136","1,520,683",43,"61,742","1,136","1,582,425","1,214","17,614,869",89,"343,159","1,090","69,431,229","1,086","17,116,764",295,"790,507",15,"466,571",18,"444,853",56,"294,344",32,"278,837",18,"303,387",21,"649,783",671,"598,421",70,"91,402",216,"723,496",215,"301,518","1,214","83,316,620"
Taxable,NSW,2784,539,539,"37,156,899",538,"7,961,942",493,"699,814",16,"22,740",493,"722,555",539,"8,476,889",25,"102,828",489,"32,690,183",484,"8,352,564",142,"545,333",9,"183,810",13,"139,247",26,"128,848",16,"158,623",5,"18,108",7,"278,351",296,"191,957",24,"2,445",117,"920,638",117,"373,537",539,"38,624,611"
Taxable,NSW,2785,"1,854","1,854","127,989,006","1,852","27,945,584","1,686","2,403,963",58,"74,591","1,686","2,477,614","1,854","29,418,592",95,"389,952","1,501","98,108,970","1,475","25,185,059",376,"1,307,769",32,"415,911",19,"508,600",95,"540,989",55,"504,319",27,"460,479",32,"1,307,160","1,158","2,363,556",139,"144,971",431,"2,158,246",429,"901,542","1,854","133,030,149"
Taxable,NSW,2786,483,483,"31,709,463",482,"6,601,215",438,"588,020",15,"13,394",438,"601,414",483,"6,918,850",20,"93,352",399,"25,305,709",395,"6,355,417",112,"211,107",5,"80,691",6,"189,608",26,"108,173",18,"149,042",5,"110,542",8,"587,404",280,"401,804",40,"47,888",108,"1,241,308",108,"519,554",483,"33,164,608"
Taxable,NSW,2787,"1,784","1,784","116,729,448","1,784","24,086,453","1,670","2,196,029",51,"61,750","1,670","2,257,779","1,784","25,437,265",43,"164,100","1,528","98,084,555","1,515","23,679,675",382,"1,131,210",14,"177,312",29,"208,297",82,"396,601",44,"394,744",21,"341,434",16,"568,107","1,034","1,573,941",137,"59,740",355,"2,192,595",354,"905,793","1,784","121,795,749"
Taxable,NSW,2790,"5,579","5,579","396,218,595","5,579","86,975,720","5,163","7,485,325",151,"178,332","5,163","7,663,151","5,579","92,044,114",206,"803,955","5,048","352,145,828","5,018","89,811,374","1,443","3,096,882",64,"1,162,506",111,"666,932",349,"1,839,736",177,"1,743,165",48,"1,002,987",66,"2,002,325","2,982","2,827,975",339,"177,434","1,069","6,247,610","1,065","2,528,160","5,579","409,812,879"
Taxable,NSW,2791,115,115,"7,478,830",115,"1,528,712",111,"143,746",6,"5,248",111,"148,994",115,"1,604,375",5,"29,905",93,"5,158,492",89,"1,185,849",23,"61,101",2,"10,526",2,"35,862",2,"8,618",2,"24,297",2,"81,812",2,"46,817",70,"141,821",18,"10,098",37,"137,065",37,"54,983",115,"7,926,376"
Taxable,NSW,2792,133,133,"9,775,831",133,"2,235,025",117,"182,113",1,402,117,"182,514",133,"2,264,893",4,"12,724",103,"6,046,966",101,"1,472,705",29,"180,129",1,"7,973",0,0,6,"16,295",4,"36,761",1,"3,606",3,"65,323",77,"68,006",24,"18,646",49,"1,026,740",49,"430,047",133,"10,375,155"
Taxable,NSW,2793,305,305,"22,201,612",305,"5,464,611",282,"416,713",8,"12,682",282,"429,395",305,"5,638,658",8,"23,801",251,"14,117,586",248,"3,428,134",82,"208,924",2,"58,894",7,"83,851",28,"143,912",8,"67,656",0,0,2,"61,153",187,"373,081",37,"14,418",82,"1,147,767",82,"488,140",305,"23,025,523"
Taxable,NSW,2794,"3,914","3,914","231,803,523","3,914","45,083,270","3,573","4,286,527",72,"98,961","3,573","4,385,285","3,914","47,298,278",116,"442,003","3,309","177,053,802","3,279","38,889,754","1,083","1,926,488",30,"423,345",45,"384,433",275,"1,316,125",117,"1,217,339",34,"673,160",33,"1,048,022","2,470","2,850,218",288,"272,642",848,"7,399,003",848,"3,066,527","3,914","243,985,584"
Taxable,NSW,2795,"17,851","17,851","1,235,167,041","17,851","266,538,344","16,694","23,437,578",519,"662,962","16,695","24,095,748","17,851","282,460,767","1,007","3,849,521","16,169","1,045,831,411","16,060","256,666,131","4,418","10,458,206",195,"4,182,537",306,"2,521,704","1,043","5,324,255",434,"4,148,323",194,"5,105,523",115,"3,445,049","10,042","10,166,306","1,326","1,301,832","3,728","30,052,261","3,720","12,207,046","17,851","1,287,050,105"
Taxable,NSW,2797,170,170,"10,204,956",170,"1,962,437",156,"189,565",2,"2,980",156,"192,545",170,"2,054,311",4,"13,020",146,"8,591,920",145,"2,017,631",44,"66,850",2,"51,025",5,"6,623",12,"66,345",8,"45,774",1,"2,940",3,"103,871",81,"55,885",5,"3,531",24,"162,780",24,"67,965",170,"10,654,914"
Taxable,NSW,2798,956,956,"81,017,895",956,"20,273,750",896,"1,559,921",26,"28,324",896,"1,588,245",956,"21,265,694",53,"233,660",816,"60,817,728",812,"16,162,855",208,"591,253",7,"222,378",21,"182,276",26,"121,717",17,"180,798",7,"177,265",7,"209,396",573,"657,323",141,"79,862",294,"2,682,264",294,"1,126,242",956,"84,732,846"
Taxable,NSW,2799,"1,717","1,717","108,179,032","1,717","21,783,219","1,596","2,033,877",46,"55,775","1,596","2,089,652","1,717","23,077,805",71,"269,974","1,526","96,070,500","1,518","23,155,725",435,"1,225,698",17,"259,303",36,"374,433",87,"431,176",36,"313,663",11,"180,260",12,"296,554",958,"919,553",171,"40,288",378,"1,394,476",378,"585,626","1,717","113,275,116"
Taxable,NSW,2800,"19,874","19,874","1,470,966,221","19,874","336,547,265","18,562","27,974,621",467,"585,289","18,564","28,553,876","19,874","354,778,532","1,156","4,889,171","18,022","1,205,147,768","17,903","302,262,144","5,451","9,972,296",228,"5,303,961",405,"5,288,008",998,"5,061,901",489,"4,714,195",193,"3,368,888",127,"3,727,106","11,595","10,787,886","1,624","1,660,262","4,248","57,171,473","4,238","23,835,779","19,874","1,538,317,794"
Taxable,NSW,2803,118,118,"7,218,236",118,"1,421,705",106,"132,829",1,870,106,"133,699",118,"1,397,416",2,"5,141",94,"4,750,807",92,"992,690",24,"69,707",0,0,0,0,7,"28,318",4,"25,119",2,"5,645",3,"94,691",65,"83,687",10,482,30,"67,961",30,"27,690",118,"7,838,468"
Taxable,NSW,2804,968,968,"57,559,625",968,"11,144,519",891,"1,071,821",11,"14,495",891,"1,086,316",968,"11,689,772",47,"191,139",791,"43,902,163",784,"10,052,809",288,"701,228",6,"65,730",11,"29,603",61,"304,199",21,"202,606",8,"217,471",14,"365,823",588,"715,849",77,"78,481",207,"1,905,777",206,"776,821",968,"60,532,762"
Taxable,NSW,2805,150,150,"9,139,786",150,"1,864,816",130,"167,579",0,0,130,"167,579",150,"1,908,905",3,"12,906",126,"6,851,267",125,"1,533,910",33,"76,288",1,"20,753",3,"31,994",2,"15,474",4,"15,117",1,84,0,0,87,"84,143",11,"1,266",25,"79,690",25,"34,126",150,"9,611,408"
Taxable,NSW,2806,354,354,"21,717,461",354,"4,303,161",325,"408,110",7,"12,229",325,"420,335",354,"4,487,921",11,"52,547",280,"16,087,720",279,"3,664,439",94,"156,088",0,0,0,0,15,"75,417",12,"115,382",4,"24,018",1,"28,466",222,"296,407",37,"20,978",78,"363,916",78,"154,797",354,"22,914,076"
Taxable,NSW,2807,131,131,"7,285,274",131,"1,344,904",117,"134,182",1,910,117,"135,092",131,"1,375,746",2,"4,824",97,"4,668,598",96,"980,377",35,"48,074",4,"51,010",1,"23,489",11,"51,473",4,"22,063",4,"32,697",5,"160,807",79,"128,004",11,"7,775",30,"222,296",30,"95,264",131,"7,725,515"
Taxable,NSW,2808,48,48,"2,735,722",48,"509,407",44,"49,645",1,43,44,"49,688",48,"519,071",3,"11,161",43,"2,337,813",43,"566,336",15,"10,562",1,"31,387",0,0,5,"23,744",2,"17,615",0,0,0,0,26,"18,601",1,73,8,"3,721",8,"1,592",48,"2,862,351"
Taxable,NSW,2809,82,82,"5,736,804",82,"1,244,842",72,"105,822",4,"6,383",72,"112,205",82,"1,266,477",6,"22,592",56,"2,944,416",52,"645,734",16,"34,782",1,"3,958",2,"6,650",6,"37,051",2,"27,522",1,"25,290",1,"31,330",61,"106,048",14,"15,419",30,"225,591",30,"96,680",82,"6,122,377"
Taxable,NSW,2810,"1,155","1,155","73,481,479","1,155","15,304,520","1,042","1,356,213",17,"22,786","1,044","1,378,999","1,155","15,415,531",32,"130,102",828,"43,028,955",809,"9,529,900",249,"832,906",6,"50,433",5,"11,670",54,"288,792",32,"355,276",3,"40,077",12,"330,127",804,"1,204,270",199,"92,078",400,"2,626,457",400,"1,101,961","1,155","78,036,904"
Taxable,NSW,2817,56,56,"2,851,459",56,"487,112",49,"50,888",2,"2,023",49,"52,911",56,"494,353",5,"12,756",39,"1,984,446",39,"455,244",14,"11,454",0,0,0,0,4,"31,712",1,"21,818",0,0,0,0,35,"58,527",2,"1,053",13,"79,870",13,"34,229",56,"3,058,660"
Taxable,NSW,2818,319,319,"20,989,825",319,"4,316,311",298,"401,730",5,"7,192",298,"408,923",319,"4,565,438",20,"69,375",278,"18,533,193",277,"4,596,597",72,"137,279",3,"39,875",5,"102,814",11,"55,011",7,"44,029",1,"1,373",3,"73,204",176,"124,242",26,"53,244",69,"480,134",69,"203,430",319,"21,959,233"
Taxable,NSW,2820,"2,210","2,210","131,758,209","2,210","25,528,888","1,997","2,423,629",40,"53,005","1,997","2,476,634","2,210","26,535,117",89,"344,521","1,908","110,078,542","1,892","25,775,583",636,"1,828,391",30,"364,954",38,"159,760",199,"1,140,046",71,"688,773",14,"136,034",16,"446,183","1,108","1,399,657",180,"114,762",400,"2,364,448",400,"986,893","2,210","138,812,630"
Taxable,NSW,2821,"1,858","1,858","116,624,227","1,858","23,536,378","1,713","2,183,080",38,"44,224","1,713","2,226,708","1,858","24,580,839",68,"225,712","1,597","92,420,935","1,572","21,539,461",482,"1,162,396",32,"382,991",37,"190,150",116,"655,748",46,"433,324",18,"114,159",13,"430,561","1,045","1,435,682",159,"173,708",396,"2,899,497",396,"1,200,203","1,858","122,255,049"
Taxable,NSW,2822,77,77,"4,676,981",77,"908,937",71,"87,606",4,"4,592",71,"92,198",77,"972,523",8,"47,653",65,"4,162,313",65,"1,076,498",28,"49,060",2,"46,570",1,"4,388",2,"6,496",3,"29,415",0,0,0,0,37,"24,169",4,198,12,"7,668",12,"3,282",77,"5,068,183"
Taxable,NSW,2823,562,562,"37,884,718",562,"8,221,186",518,"716,437",17,"18,002",518,"734,440",562,"8,437,645",22,"88,545",450,"25,344,180",437,"5,863,393",119,"271,553",2,"76,732",11,"30,861",35,"188,481",6,"79,981",5,"39,795",2,"70,437",353,"463,645",79,"60,687",167,"2,170,031",166,"880,702",562,"40,897,860"
Taxable,NSW,2824,902,902,"61,156,081",902,"13,240,491",822,"1,141,859",19,"25,061",822,"1,166,921",902,"13,727,674",43,"187,797",732,"42,027,329",718,"9,632,657",206,"438,527",5,"78,985",6,"45,930",55,"308,834",24,"297,543",7,"95,874",1,"36,373",551,"1,095,774",104,"95,331",259,"3,250,076",259,"1,319,041",902,"64,963,833"
Taxable,NSW,2825,"1,041","1,041","70,925,197","1,041","15,228,609",943,"1,335,314",28,"37,175",943,"1,372,039","1,041","15,938,047",48,"166,714",874,"56,064,413",867,"13,813,875",269,"829,614",4,"105,399",15,"239,139",53,"245,670",29,"337,227",3,"48,546",3,"52,913",573,"1,515,113",86,"160,088",216,"1,853,313",216,"771,741","1,041","75,143,245"
Taxable,NSW,2826,86,86,"5,616,645",86,"1,187,777",78,"107,361",0,0,78,"107,361",86,"1,197,744",4,"17,434",62,"3,710,865",60,"886,111",7,"2,663",1,681,1,"5,874",4,"10,965",1,"10,587",1,"5,968",0,0,60,"135,418",13,"9,348",30,"184,916",30,"78,598",86,"5,926,443"
Taxable,NSW,2827,"1,252","1,252","74,201,163","1,252","14,472,528","1,126","1,362,344",27,"36,674","1,126","1,399,019","1,252","15,262,316",44,"142,706","1,048","57,843,003","1,033","13,181,542",415,"888,693",7,"93,172",9,"76,687",81,"453,799",40,"460,582",7,"75,258",5,"152,025",675,"2,237,832",104,"77,113",275,"1,553,722",275,"639,866","1,252","77,847,923"
Taxable,NSW,2828,253,253,"16,314,786",253,"3,520,012",228,"302,244",2,"1,869",228,"304,113",253,"3,557,864",10,"29,821",171,"7,712,041",167,"1,594,677",54,"73,612",0,0,0,0,12,"44,007",7,"88,606",0,0,3,"23,305",165,"323,988",38,"76,086",74,"1,664,775",74,"701,378",253,"17,758,623"
Taxable,NSW,2829,"1,070","1,070","68,486,289","1,070","14,218,806",946,"1,255,140",26,"43,138",946,"1,298,279","1,070","14,772,176",59,"257,829",886,"48,407,111",872,"10,943,733",269,"505,660",6,"65,490",5,"11,014",69,"395,924",31,"297,142",5,"131,607",4,"202,482",613,"1,184,707",119,"89,349",268,"3,731,877",268,"1,505,128","1,070","72,318,987"
Taxable,NSW,2830,"18,828","18,828","1,248,495,313","18,827","262,246,208","17,308","23,381,880",490,"579,738","17,310","23,953,135","18,828","278,143,139","1,030","4,244,083","17,067","1,051,980,815","16,951","250,774,110","5,000","9,684,807",205,"3,356,308",286,"2,994,936","1,007","5,313,014",507,"5,061,846",99,"1,851,052",99,"3,038,465","10,028","9,385,513","1,178","1,046,088","3,558","30,950,191","3,551","12,633,590","18,828","1,302,875,748"
Taxable,NSW,2831,914,914,"57,220,411",914,"11,527,609",825,"1,073,394",26,"33,382",825,"1,106,776",914,"11,959,013",33,"159,521",719,"43,078,766",710,"10,327,279",211,"468,506",16,"320,814",12,"169,647",42,"258,969",23,"223,830",8,"83,575",6,"133,372",526,"864,889",104,"65,086",221,"1,972,394",221,"818,492",914,"60,489,681"
Taxable,NSW,2832,818,818,"50,059,121",818,"9,842,106",747,"927,776",19,"23,147",747,"950,923",818,"10,156,167",54,"198,922",723,"41,294,395",722,"9,850,205",235,"447,648",3,"90,146",3,"5,037",109,"682,722",35,"384,528",5,"42,838",0,0,379,"464,448",36,"39,628",129,"1,227,246",129,"483,872",818,"53,979,648"
Taxable,NSW,2833,168,168,"10,404,491",168,"2,055,181",158,"193,940",4,"5,399",158,"199,339",168,"2,083,760",13,"63,986",138,"8,169,311",136,"1,973,247",45,"85,821",0,0,2,"3,088",20,"141,872",4,"37,971",2,"105,423",1,"20,294",94,"225,044",15,"22,597",31,"200,974",31,"80,984",168,"11,335,391"
Taxable,NSW,2834,577,577,"32,574,824",577,"6,089,178",513,"590,814",14,"20,750",513,"611,564",577,"6,345,318",35,"134,756",508,"27,469,322",504,"6,380,911",171,"567,508",1,"11,210",2,"1,414",84,"465,407",26,"319,609",2,"49,556",2,"39,525",266,"270,406",23,"7,458",69,"404,558",69,"160,838",577,"34,008,308"
Taxable,NSW,2835,"1,744","1,744","146,150,784","1,744","35,014,327","1,665","2,824,102",96,"121,713","1,665","2,945,436","1,744","36,854,032",64,"293,877","1,593","132,554,487","1,586","36,611,517",321,"654,115",53,"1,245,986",40,"437,712",65,"347,802",32,"290,058",4,"35,241",9,"218,254",989,"876,894",91,"24,270",256,"2,442,391",255,"947,832","1,744","150,778,304"
Taxable,NSW,2836,235,235,"15,275,006",235,"3,251,737",218,"288,822",8,"8,802",218,"297,624",235,"3,264,844",10,"32,870",186,"10,197,935",184,"2,456,417",50,"51,321",1,"7,421",2,"5,719",20,"96,650",7,"71,869",0,0,0,0,126,"309,246",19,"11,510",35,"335,885",35,"143,943",235,"15,873,759"
Taxable,NSW,2839,367,367,"22,366,133",367,"4,395,267",335,"410,705",7,"9,329",335,"420,033",367,"4,562,303",25,"86,716",331,"18,733,585",329,"4,617,682",128,"230,016",6,"308,718",10,"106,922",37,"219,565",13,"118,160",0,0,0,0,146,"148,278",20,"24,495",50,"453,261",50,"184,560",367,"23,309,594"
Taxable,NSW,2840,995,995,"65,591,289",995,"13,632,418",918,"1,216,443",38,"61,107",920,"1,277,550",995,"14,191,927",65,"258,258",863,"52,920,082",854,"12,913,975",289,"555,561",9,"194,101",13,"93,996",58,"324,871",46,"523,361",3,"110,661",3,"63,156",538,"431,457",59,"29,979",161,"752,559",161,"312,642",995,"70,016,248"
Taxable,NSW,2842,166,166,"9,211,180",166,"1,680,403",150,"167,328",5,"5,090",150,"172,417",166,"1,730,870",6,"27,332",125,"7,001,455",125,"1,668,032",31,"76,902",2,"56,275",0,0,13,"73,504",10,"211,722",1,"2,296",1,"29,169",82,"78,706",13,"1,181",39,"109,104",39,"46,754",166,"9,546,531"
Taxable,NSW,2843,438,438,"28,601,649",438,"6,334,178",396,"527,422",5,"7,363",396,"534,785",438,"6,589,289",17,"73,422",356,"19,276,019",349,"4,291,144",138,"443,551",5,"21,906",3,"29,832",38,"191,365",11,"132,039",2,"22,583",6,"157,753",259,"383,416",43,"55,236",106,"1,259,205",106,"535,351",438,"30,562,066"
Taxable,NSW,2844,465,465,"30,770,626",465,"6,529,028",427,"578,054",9,"10,998",427,"589,048",465,"6,750,372",11,"61,527",359,"19,871,105",345,"4,623,940",117,"249,031",4,"95,741",4,"11,089",21,"120,864",13,"127,223",2,"10,340",4,"119,615",273,"500,536",52,"36,796",145,"1,771,121",145,"754,523",465,"32,394,595"
Taxable,NSW,2845,801,801,"56,253,943",801,"12,110,303",740,"1,069,300",24,"30,262",740,"1,099,563",801,"12,911,143",30,"108,427",745,"52,810,494",742,"13,467,880",225,"235,508",6,"104,730",13,"63,009",54,"251,871",26,"284,081",8,"170,658",2,"28,502",406,"331,419",35,"3,675",118,"369,617",118,"149,719",801,"58,264,190"
Taxable,NSW,2846,89,89,"5,241,083",89,"1,018,860",80,"96,598",2,"1,639",80,"98,237",89,"1,086,743",2,"5,031",70,"4,413,527",70,"1,075,159",17,"34,028",1,"6,720",4,"1,669",8,"50,658",3,"28,933",0,0,0,0,42,"35,452",6,"5,834",15,"57,520",15,"24,647",89,"5,473,172"
Taxable,NSW,2847,803,803,"54,063,089",803,"11,393,365",759,"1,021,059",23,"24,300",759,"1,045,358",803,"12,062,652",25,"84,122",757,"51,416,355",753,"12,949,145",215,"324,947",12,"164,783",17,"89,678",60,"275,430",20,"201,320",4,"45,241",7,"207,602",400,"261,474",30,"10,716",122,"899,976",122,"353,809",803,"56,082,131"
Taxable,NSW,2848,336,336,"20,553,016",336,"4,085,242",306,"379,794",5,"5,350",306,"385,143",336,"4,327,561",8,"21,122",305,"18,541,695",304,"4,491,124",97,"114,844",5,"49,479",13,"63,116",40,"210,743",7,"127,590",0,0,2,"35,586",173,"303,776",15,715,58,"395,677",58,"168,766",336,"21,356,322"
Taxable,NSW,2849,511,511,"36,626,908",511,"8,186,925",471,"691,533",11,"13,526",471,"705,059",511,"8,618,379",19,"106,526",432,"30,695,682",428,"8,006,166",131,"326,943",13,"168,924",22,"115,419",21,"123,396",13,"115,723",3,"37,587",4,"88,869",310,"414,252",53,"67,391",142,"1,079,778",142,"447,607",511,"38,153,772"
Taxable,NSW,2850,"7,407","7,407","556,656,024","7,407","127,787,229","6,865","10,548,126",235,"311,753","6,865","10,858,322","7,407","134,694,369",316,"1,328,221","6,594","477,005,021","6,534","124,715,081","1,740","3,817,791",72,"1,488,007",153,"1,959,114",388,"1,982,870",177,"1,735,502",59,"1,419,928",54,"1,839,122","4,101","4,609,068",510,"664,157","1,575","16,070,144","1,573","6,568,854","7,407","581,189,479"
Taxable,NSW,2852,"1,263","1,263","92,066,393","1,263","20,748,420","1,147","1,725,678",42,"54,679","1,147","1,780,290","1,263","21,803,638",30,"106,311","1,121","81,692,744","1,116","21,247,850",299,"800,658",18,"309,464",29,"297,088",60,"267,759",25,"266,270",10,"220,581",5,"131,033",655,"802,043",69,"79,847",224,"1,652,919",224,"670,260","1,263","96,037,031"
